sample_id,peak_number,retention_time_min,peak_area,result_pct_of_spec,spec_low,spec_high
SMPL-50000,1,11.51,52458.5,102.35,95.0,105.0
SMPL-50000,2,5.21,50602.2,98.04,95.0,105.0
SMPL-50000,3,6.19,34577.0,101.24,95.0,105.0
SMPL-50001,1,8.79,57204.2,95.93,95.0,105.0
SMPL-50001,2,2.34,52325.7,102.18,95.0,105.0
SMPL-50002,1,6.52,57210.7,96.37,95.0,105.0
SMPL-50004,1,10.84,41649.3,101.33,95.0,105.0
SMPL-50004,2,11.82,55107.7,102.03,95.0,105.0
SMPL-50004,3,8.19,51211.3,98.2,95.0,105.0
SMPL-50005,1,6.44,66303.7,98.49,95.0,105.0
SMPL-50005,2,11.92,69113.5,99.33,95.0,105.0
SMPL-50009,1,11.94,43405.7,105.73,95.0,105.0
SMPL-50009,2,5.98,42899.5,103.32,95.0,105.0
SMPL-50011,1,6.5,46373.2,105.42,95.0,105.0
SMPL-50011,2,4.82,53857.2,102.71,95.0,105.0
SMPL-50012,1,7.7,58370.6,97.13,95.0,105.0
SMPL-50012,2,9.13,32799.4,96.22,95.0,105.0
SMPL-50013,1,6.16,47057.3,103.29,95.0,105.0
SMPL-50014,1,7.24,40119.4,95.99,95.0,105.0
SMPL-50014,2,5.54,56393.4,97.75,95.0,105.0
SMPL-50015,1,4.79,44178.4,96.16,95.0,105.0
SMPL-50015,2,3.17,46281.3,103.51,95.0,105.0
SMPL-50015,3,2.92,56276.2,104.43,95.0,105.0
SMPL-50016,1,5.24,41207.9,99.17,95.0,105.0
SMPL-50017,1,6.15,53734.4,96.54,95.0,105.0
SMPL-50017,2,11.68,60884.1,102.77,95.0,105.0
SMPL-50017,3,7.76,46941.8,101.28,95.0,105.0
SMPL-50018,1,8.1,47950.8,96.58,95.0,105.0
SMPL-50018,2,4.79,52769.7,99.61,95.0,105.0
SMPL-50018,3,9.89,38883.9,103.48,95.0,105.0
SMPL-50019,1,6.85,54607.7,96.7,95.0,105.0
SMPL-50019,2,6.35,50014.8,105.93,95.0,105.0
SMPL-50024,1,11.82,55161.3,98.51,95.0,105.0
SMPL-50025,1,11.11,48481.0,96.41,95.0,105.0
SMPL-50025,2,5.44,55712.3,99.05,95.0,105.0
SMPL-50026,1,5.26,44282.4,98.99,95.0,105.0
SMPL-50031,1,6.78,52213.8,101.71,95.0,105.0
SMPL-50032,1,5.39,63316.9,104.51,95.0,105.0
SMPL-50032,2,8.65,44052.2,101.28,95.0,105.0
SMPL-50032,3,4.77,50439.9,99.06,95.0,105.0
SMPL-50033,1,5.39,32000.5,100.42,95.0,105.0
SMPL-50033,2,2.66,37716.7,97.82,95.0,105.0
SMPL-50033,3,2.85,48534.3,101.57,95.0,105.0
SMPL-50034,1,6.62,53637.0,99.88,95.0,105.0
SMPL-50035,1,9.68,38138.5,100.6,95.0,105.0
SMPL-50035,2,2.03,58667.4,100.68,95.0,105.0
SMPL-50035,3,4.38,51901.4,99.08,95.0,105.0
SMPL-50036,1,10.39,42459.8,103.54,95.0,105.0
SMPL-50037,1,7.06,54318.9,99.14,95.0,105.0
